id;landmark_id;label
0;27;Humayun's Mausoleum, Delhi, India
1;1924;Niagara Falls
2;9070;Feroz Shah Kotla fortress
3;10419;Qutb Minar, Delhi
4;14915;St. Lawrence District, Toronto
5;20120;Cathedral of San Sebastian, Cochabamba
6;20409;Cemetery of khachkars in Noratus
7;25093;Matka Canyon
8;27190;Perperikon, Bulgaria
9;31531;Jurassic Coast
10;36748;Kecharis, Armenia
11;38482;Skopje Fortress, North Macedonia
12;40088;Masada National Park, Israel
13;41648;Belgorod-Dnestrovskaya fortress, Ukraine
14;45428;National Arboretum Sofiyivka, Ukraine
15;46705;Grand Canyon National Park, Arizona, USA
16;47378;Eiffel Tower
17;51856;Grote Kerk Church, Breda, Netherlands
18;64792;Victoria Memorial, Kolkata, India
19;76303;Church of the Holy Mother of God, Yeghvard, Armenia
20;83144;Museum of Folk Architecture and Life of Ukraine
21;85633;Fortress Chufut-Kale
22;101399;Ljubljana Castle, Ljubljana, Slovenia
23;107164;Saint Hripsime Church, Vagharshapat, Armenia
24;109169;Ogrodzieniec Castle, Poland
25;113209;Mount Saleve, France
26;113838;Port of Nyhavn, Copenhagen, Denmark
27;120734;Mathura Museum, India
28;139894;Peshter plateau, Serbia
29;143710;Harichavank Monastery, Harich, Armenia
30;149980;Khotyn fortress, Ukraine
31;152708;Tomb of Akbar the Great, Agra, India
32;161902;Madrid Rio Park, Madrid, Spain
33;162833;Pakistani monument, Islamabad
34;165596;Edinburgh Castle, Scotland
35;168098;Golden Gate Bridge, California, USA
36;173511;Purana Kila Fortress, Delhi, India
37;176018;Hayravank monastery, Hayravank, Armenia
38;187779;Genoese Fortress, Sudak
39;189811;Lake Como, Italy
40;189907;mausoleum of Itimad-Ud-Daula, Agra, India
41;190822;Faisal Mosque, Islamabad, Pakistan
42;191292;Haghpat monastery, Armenia